record_identity,operator,unique_journey_identifier,unique_identifier,route_number_(identifier),route_direction,has_duplicated_stops,location,published_arrival_time,published_departure_time,next_stop_id,next_stop_arrival_time,operates_on_mondays,operates_on_tuesdays,operates_on_wednesdays,operates_on_thursdays,operates_on_fridays,operates_on_saturdays,operates_on_sundays,first_date_of_operation,last_date_of_operation,school_term_time,activity_flag,bank_holidays,running_board,vehicle_type,registration_number,bay_number,fare_stage_indicator,timing_point_indicator
QO,GMS,000002,GMS000002,584,I,0,1800WK36771,,07:40:00,1800WK36781,07:40:00,1,1,1,1,1,0,0,2018-04-08,20991231,1,,X,999999,BUS,99999999,,F0,T1
QI,GMS,000002,GMS000002,584,I,0,1800WK36781,07:40:00,07:40:00,1800WK36801,07:40:00,1,1,1,1,1,0,0,2018-04-08,20991231,1,B,X,999999,BUS,99999999,,F0,T0
QI,GMS,000002,GMS000002,584,I,0,1800WK36801,07:40:00,07:40:00,1800WK36821,07:41:00,1,1,1,1,1,0,0,2018-04-08,20991231,1,B,X,999999,BUS,99999999,,F0,T0
QI,GMS,000002,GMS000002,584,I,0,1800WK36821,07:41:00,07:41:00,1800WK36841,07:41:00,1,1,1,1,1,0,0,2018-04-08,20991231,1,B,X,999999,BUS,99999999,,F0,T0
QI,GMS,000002,GMS000002,584,I,0,1800WK36841,07:41:00,07:41:00,1800WK13001,07:41:00,1,1,1,1,1,0,0,2018-04-08,20991231,1,B,X,999999,BUS,99999999,,F0,T1
QI,GMS,000002,GMS000002,584,I,0,1800WK13001,07:41:00,07:41:00,1800WK36871,07:42:00,1,1,1,1,1,0,0,2018-04-08,20991231,1,B,X,999999,BUS,99999999,,F0,T0
QI,GMS,000002,GMS000002,584,I,0,1800WK36871,07:42:00,07:42:00,1800WK36881,07:42:00,1,1,1,1,1,0,0,2018-04-08,20991231,1,B,X,999999,BUS,99999999,,F0,T0
QI,GMS,000002,GMS000002,584,I,0,1800WK36881,07:42:00,07:42:00,1800WK36901,07:43:00,1,1,1,1,1,0,0,2018-04-08,20991231,1,B,X,999999,BUS,99999999,,F0,T0
QI,GMS,000002,GMS000002,584,I,0,1800WK36901,07:43:00,07:43:00,1800WK03131,07:43:00,1,1,1,1,1,0,0,2018-04-08,20991231,1,B,X,999999,BUS,99999999,,F0,T1
QI,GMS,000002,GMS000002,584,I,0,1800WK03131,07:43:00,07:43:00,1800WK36931,07:44:00,1,1,1,1,1,0,0,2018-04-08,20991231,1,B,X,999999,BUS,99999999,,F0,T1
QI,GMS,000002,GMS000002,584,I,0,1800WK36931,07:44:00,07:44:00,1800WK36951,07:46:00,1,1,1,1,1,0,0,2018-04-08,20991231,1,B,X,999999,BUS,99999999,,F0,T0
QI,GMS,000002,GMS000002,584,I,0,1800WK36951,07:46:00,07:46:00,1800WK36981,07:47:00,1,1,1,1,1,0,0,2018-04-08,20991231,1,B,X,999999,BUS,99999999,,F0,T0
QI,GMS,000002,GMS000002,584,I,0,1800WK36981,07:47:00,07:47:00,1800WK36501,07:48:00,1,1,1,1,1,0,0,2018-04-08,20991231,1,B,X,999999,BUS,99999999,,F0,T0
QI,GMS,000002,GMS000002,584,I,0,1800WK36501,07:48:00,07:48:00,1800WK35411,07:49:00,1,1,1,1,1,0,0,2018-04-08,20991231,1,B,X,999999,BUS,99999999,,F0,T0
QI,GMS,000002,GMS000002,584,I,0,1800WK35411,07:49:00,07:49:00,1800WK35421,07:51:00,1,1,1,1,1,0,0,2018-04-08,20991231,1,B,X,999999,BUS,99999999,,F0,T0
QI,GMS,000002,GMS000002,584,I,0,1800WK35421,07:51:00,07:51:00,1800LHBS001,07:52:00,1,1,1,1,1,0,0,2018-04-08,20991231,1,B,X,999999,BUS,99999999,,F0,T0
QT,GMS,000002,GMS000002,584,I,0,1800LHBS001,07:52:00,,,,1,1,1,1,1,0,0,2018-04-08,20991231,1,,X,999999,BUS,99999999,,F0,T1
QO,JSC,000003,JSC000003,584,I,0,1800WK36771,,08:14:00,1800WK36781,08:14:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,JSC,000003,JSC000003,584,I,0,1800WK36781,08:14:00,08:14:00,1800WK36801,08:15:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000003,JSC000003,584,I,0,1800WK36801,08:15:00,08:15:00,1800WK36821,08:15:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000003,JSC000003,584,I,0,1800WK36821,08:15:00,08:15:00,1800WK36841,08:16:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000003,JSC000003,584,I,0,1800WK36841,08:16:00,08:16:00,1800WK13001,08:16:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,JSC,000003,JSC000003,584,I,0,1800WK13001,08:16:00,08:16:00,1800WK36871,08:16:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000003,JSC000003,584,I,0,1800WK36871,08:16:00,08:16:00,1800WK36881,08:16:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000003,JSC000003,584,I,0,1800WK36881,08:16:00,08:16:00,1800WK36901,08:16:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000003,JSC000003,584,I,0,1800WK36901,08:16:00,08:16:00,1800WK03131,08:17:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,JSC,000003,JSC000003,584,I,0,1800WK03131,08:17:00,08:17:00,1800WK36931,08:18:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,JSC,000003,JSC000003,584,I,0,1800WK36931,08:18:00,08:18:00,1800WK36951,08:19:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000003,JSC000003,584,I,0,1800WK36951,08:19:00,08:19:00,1800WK36981,08:21:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000003,JSC000003,584,I,0,1800WK36981,08:21:00,08:21:00,1800WK36501,08:22:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000003,JSC000003,584,I,0,1800WK36501,08:22:00,08:22:00,1800WK35411,08:23:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000003,JSC000003,584,I,0,1800WK35411,08:23:00,08:23:00,1800WK35421,08:25:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000003,JSC000003,584,I,0,1800WK35421,08:25:00,08:25:00,1800LHBS001,08:26:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QT,JSC,000003,JSC000003,584,I,0,1800LHBS001,08:26:00,,,,1,1,1,1,1,0,0,2018-04-08,20991231,0,,X,999999,BUS,99999999,,F0,T1
QO,JSC,000004,JSC000004,584,I,0,1800WK03131,,08:26:00,1800WK36931,08:27:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,JSC,000004,JSC000004,584,I,0,1800WK36931,08:27:00,08:27:00,1800WK36951,08:29:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000004,JSC000004,584,I,0,1800WK36951,08:29:00,08:29:00,1800WK36981,08:30:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000004,JSC000004,584,I,0,1800WK36981,08:30:00,08:30:00,1800WK36501,08:31:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000004,JSC000004,584,I,0,1800WK36501,08:31:00,08:31:00,1800WK35411,08:33:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000004,JSC000004,584,I,0,1800WK35411,08:33:00,08:33:00,1800WK35421,08:34:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000004,JSC000004,584,I,0,1800WK35421,08:34:00,08:34:00,1800LHBS001,08:36:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QT,JSC,000004,JSC000004,584,I,0,1800LHBS001,08:36:00,,,,1,1,1,1,1,0,0,2018-04-08,20991231,0,,X,999999,BUS,99999999,,F0,T1
QO,JSC,000005,JSC000005,584,I,0,1800WK36771,,09:14:00,1800WK36781,09:14:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,JSC,000005,JSC000005,584,I,0,1800WK36781,09:14:00,09:14:00,1800WK36801,09:15:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000005,JSC000005,584,I,0,1800WK36801,09:15:00,09:15:00,1800WK36821,09:15:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000005,JSC000005,584,I,0,1800WK36821,09:15:00,09:15:00,1800WK36841,09:16:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000005,JSC000005,584,I,0,1800WK36841,09:16:00,09:16:00,1800WK13001,09:16:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,JSC,000005,JSC000005,584,I,0,1800WK13001,09:16:00,09:16:00,1800WK36871,09:16:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000005,JSC000005,584,I,0,1800WK36871,09:16:00,09:16:00,1800WK36881,09:16:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000005,JSC000005,584,I,0,1800WK36881,09:16:00,09:16:00,1800WK36901,09:16:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000005,JSC000005,584,I,0,1800WK36901,09:16:00,09:16:00,1800WK03131,09:17:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,JSC,000005,JSC000005,584,I,0,1800WK03131,09:17:00,09:17:00,1800WK36931,09:18:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,JSC,000005,JSC000005,584,I,0,1800WK36931,09:18:00,09:18:00,1800WK36951,09:19:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000005,JSC000005,584,I,0,1800WK36951,09:19:00,09:19:00,1800WK36981,09:21:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000005,JSC000005,584,I,0,1800WK36981,09:21:00,09:21:00,1800WK36501,09:22:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,JSC,000005,JSC000005,584,I,0,1800WK36501,09:22:00,09:22:00,1800WK35411,09:23:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
